ts,open,high,low,close,volume
2026-06-27 12:20:00+00:00,4090.82,4090.82,4090.23,4090.46,3.38
2026-06-27 12:25:00+00:00,4090.46,4090.46,4089.94,4090.4,4.84
2026-06-27 12:30:00+00:00,4090.4,4091.33,4090.4,4091.07,2.85
2026-06-27 12:35:00+00:00,4091.07,4091.47,4091.07,4091.47,0.29
2026-06-27 12:40:00+00:00,4091.47,4091.47,4091.07,4091.07,1.74
2026-06-27 12:45:00+00:00,4091.07,4091.66,4091.07,4091.46,6.78
2026-06-27 12:50:00+00:00,4091.46,4091.46,4090.47,4090.48,10.59
2026-06-27 12:55:00+00:00,4090.48,4090.48,4088.97,4089.88,19.63
2026-06-27 13:00:00+00:00,4089.88,4090.3,4089.87,4090.29,2.08
2026-06-27 13:05:00+00:00,4090.29,4090.39,4089.66,4089.68,12.59
2026-06-27 13:10:00+00:00,4089.68,4090.39,4089.68,4090.3,1.86
2026-06-27 13:15:00+00:00,4090.3,4090.3,4089.94,4089.94,7.71
2026-06-27 13:20:00+00:00,4089.94,4089.94,4089.94,4089.94,0.0
2026-06-27 13:25:00+00:00,4089.94,4090.06,4089.09,4090.06,8.25
2026-06-27 13:30:00+00:00,4090.06,4090.19,4089.83,4089.85,9.11
2026-06-27 13:35:00+00:00,4089.85,4091.24,4089.85,4091.24,17.27
2026-06-27 13:40:00+00:00,4091.24,4091.24,4090.89,4090.89,1.63
2026-06-27 13:45:00+00:00,4090.89,4090.97,4090.62,4090.62,3.85
2026-06-27 13:50:00+00:00,4090.62,4091.47,4090.62,4090.89,5.94
2026-06-27 13:55:00+00:00,4090.89,4090.89,4090.89,4090.89,0.22
2026-06-27 14:00:00+00:00,4090.89,4091.11,4090.54,4090.65,37.63
2026-06-27 14:05:00+00:00,4090.65,4090.65,4090.44,4090.44,1.61
2026-06-27 14:10:00+00:00,4090.44,4090.64,4090.24,4090.24,10.59
2026-06-27 14:15:00+00:00,4090.24,4090.25,4089.54,4089.54,8.34
2026-06-27 14:20:00+00:00,4089.54,4089.68,4089.19,4089.19,8.69
2026-06-27 14:25:00+00:00,4089.19,4089.74,4089.19,4089.74,12.7
2026-06-27 14:30:00+00:00,4089.74,4090.0,4089.47,4089.47,6.24
2026-06-27 14:35:00+00:00,4089.47,4089.58,4089.47,4089.58,0.63
2026-06-27 14:40:00+00:00,4089.58,4089.58,4089.44,4089.44,0.75
2026-06-27 14:45:00+00:00,4089.44,4089.44,4089.22,4089.22,0.04
2026-06-27 14:50:00+00:00,4089.22,4089.22,4089.22,4089.22,1.49
2026-06-27 14:55:00+00:00,4089.22,4089.23,4089.22,4089.22,2.19
2026-06-27 15:00:00+00:00,4089.22,4089.23,4088.58,4089.12,9.97
2026-06-27 15:05:00+00:00,4089.12,4089.41,4089.11,4089.41,7.03
2026-06-27 15:10:00+00:00,4089.41,4091.11,4089.2,4091.11,47.82
2026-06-27 15:15:00+00:00,4091.11,4091.45,4091.11,4091.44,3.66
2026-06-27 15:20:00+00:00,4091.44,4091.44,4090.56,4091.05,5.6
2026-06-27 15:25:00+00:00,4091.05,4091.1,4091.05,4091.09,0.89
2026-06-27 15:30:00+00:00,4091.09,4091.31,4089.87,4091.17,80.66
2026-06-27 15:35:00+00:00,4091.17,4091.44,4090.75,4091.44,2.29
2026-06-27 15:40:00+00:00,4091.44,4091.44,4090.99,4090.99,3.98
2026-06-27 15:45:00+00:00,4090.99,4090.99,4090.02,4090.29,2.64
2026-06-27 15:50:00+00:00,4090.29,4090.59,4090.29,4090.58,3.56
2026-06-27 15:55:00+00:00,4090.58,4090.99,4090.35,4090.99,6.75
2026-06-27 16:00:00+00:00,4090.99,4091.19,4090.84,4091.18,9.82
2026-06-27 16:05:00+00:00,4091.18,4091.29,4091.18,4091.28,1.08
2026-06-27 16:10:00+00:00,4091.28,4091.29,4090.93,4090.94,4.46
2026-06-27 16:15:00+00:00,4090.94,4091.24,4090.94,4091.18,2.75
2026-06-27 16:20:00+00:00,4091.18,4092.06,4090.95,4092.05,47.84
2026-06-27 16:25:00+00:00,4092.05,4092.41,4092.04,4092.3,5.68
2026-06-27 16:30:00+00:00,4092.3,4092.5,4092.21,4092.49,2.54
