open_ts,took_trade,or_high,or_low,or_range,trend_slope,session,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,gross_pnl,net_pnl,mae_price,mfe_price,mae_dollars,mfe_dollars,mae_price_distance,mfe_price_distance
2026-07-08 23:00:00+00:00,True,4087.5,4083.60009765625,3.89990234375,-4.983211098773609,ASIA,-1.0,2026-07-08 23:40:00+00:00,2026-07-09 00:00:00+00:00,4083.60009765625,4087.5,4087.5,4077.750244140625,-389.990234375,-413.990234375,,,739.990234375,250.0,7.39990234375,2.5
2026-07-09 07:00:00+00:00,False,4119.89990234375,4111.2998046875,8.60009765625,-2.098373630408787,LON,,,,,,,,,,,,,,,
2026-07-09 13:30:00+00:00,True,4139.60009765625,4127.60009765625,12.0,2.370607641096285,NY,1.0,2026-07-09 14:00:00+00:00,2026-07-09 14:15:00+00:00,4139.60009765625,4127.60009765625,4127.60009765625,4157.60009765625,-1200.0,-1224.0,,,1410.009765625,779.98046875,14.10009765625,7.7998046875
2026-07-09 23:00:00+00:00,False,4134.2001953125,4130.10009765625,4.10009765625,3.600930367991168,ASIA,,,,,,,,,,,,,,,
2026-07-10 07:00:00+00:00,False,4124.39990234375,4117.5,6.89990234375,0.9172477405481914,LON,,,,,,,,,,,,,,,
2026-07-10 13:30:00+00:00,False,4114.2998046875,4095.300048828125,18.999755859375,-1.360418608431246,NY,,,,,,,,,,,,,,,
2026-07-12 22:10:00+00:00,True,4102.2001953125,4087.39990234375,14.80029296875,-1.8760220026379104,ASIA,-1.0,2026-07-12 22:40:00+00:00,2026-07-13 00:40:00+00:00,4087.39990234375,4081.89990234375,4102.2001953125,4065.199462890625,550.0,526.0,,,1230.029296875,1800.0,12.30029296875,18.0
2026-07-12 23:00:00+00:00,False,4084.10009765625,4075.800048828125,8.300048828125,-2.457362132436174,ASIA,,,,,,,,,,,,,,,
2026-07-13 07:00:00+00:00,False,4069.300048828125,4056.5,12.800048828125,-7.939591147273859,LON,,,,,,,,,,,,,,,
2026-07-13 13:30:00+00:00,True,4071.800048828125,4049.0,22.800048828125,-6.313644998011114,NY,-1.0,2026-07-13 14:00:00+00:00,2026-07-13 14:15:00+00:00,4049.0,4014.799926757813,4071.800048828125,4014.799926757813,3420.00732421875,3396.00732421875,,,550.0,3439.990234375,5.5,34.39990234375
2026-07-13 23:00:00+00:00,True,4009.89990234375,4003.89990234375,6.0,-13.483455315418269,ASIA,-1.0,2026-07-13 23:30:00+00:00,2026-07-14 00:00:00+00:00,4003.89990234375,4009.89990234375,4009.89990234375,3994.89990234375,-600.0,-624.0,,,790.0146484375,479.98046875,7.900146484375,4.7998046875
2026-07-14 07:00:00+00:00,True,4036.39990234375,4027.199951171875,9.199951171875,-6.191271355869958,LON,-1.0,2026-07-14 07:55:00+00:00,2026-07-14 09:55:00+00:00,4027.199951171875,4028.699951171875,4036.39990234375,4013.400024414064,-150.0,-174.0,,,519.9951171875,709.9853515625,5.199951171875,7.099853515625
2026-07-14 13:30:00+00:00,True,4096.39990234375,4081.60009765625,14.7998046875,-0.3179875733367225,NY,-1.0,2026-07-14 14:00:00+00:00,2026-07-14 14:30:00+00:00,4081.60009765625,4096.39990234375,4096.39990234375,4059.400390625,-1479.98046875,-1503.98046875,,,1679.98046875,370.01953125,16.7998046875,3.7001953125
2026-07-14 23:00:00+00:00,True,4060.0,4052.699951171875,7.300048828125,0.0987872045943731,ASIA,1.0,2026-07-14 23:30:00+00:00,2026-07-15 01:30:00+00:00,4060.0,4057.0,4052.699951171875,4070.950073242188,-300.0,-324.0,,,680.0048828125,860.009765625,6.800048828125,8.60009765625
2026-07-15 07:00:00+00:00,True,4040.60009765625,4025.800048828125,14.800048828125,-3.67146807020481,LON,-1.0,2026-07-15 07:35:00+00:00,2026-07-15 09:00:00+00:00,4025.800048828125,4040.60009765625,4040.60009765625,4003.5999755859375,-1480.0048828125,-1504.0048828125,,,1480.0048828125,250.0,14.800048828125,2.5
2026-07-15 13:30:00+00:00,True,4073.10009765625,4061.699951171875,11.400146484375,-0.1237948889997824,NY,-1.0,2026-07-15 14:45:00+00:00,2026-07-15 16:10:00+00:00,4061.699951171875,4044.599731445313,4073.10009765625,4044.599731445313,1710.02197265625,1686.02197265625,,,790.0146484375,1789.990234375,7.900146484375,17.89990234375
2026-07-15 23:00:00+00:00,False,4068.0,4062.60009765625,5.39990234375,2.09906071552723,ASIA,,,,,,,,,,,,,,,
2026-07-16 07:00:00+00:00,True,4035.800048828125,4028.699951171875,7.10009765625,-3.239766616606176,LON,-1.0,2026-07-16 07:30:00+00:00,2026-07-16 07:45:00+00:00,4028.699951171875,4035.800048828125,4035.800048828125,4018.0498046875,-710.009765625,-734.009765625,,,840.0146484375,89.990234375,8.400146484375,0.89990234375
2026-07-16 13:30:00+00:00,False,4012.60009765625,3985.5,27.10009765625,-5.501500415725786,NY,,,,,,,,,,,,,,,
2026-07-16 23:00:00+00:00,False,3984.300048828125,3978.60009765625,5.699951171875,-9.85090439130272,ASIA,,,,,,,,,,,,,,,
2026-07-17 07:00:00+00:00,True,4006.60009765625,3997.10009765625,9.5,-5.43854890612738,LON,-1.0,2026-07-17 07:55:00+00:00,2026-07-17 09:55:00+00:00,3997.10009765625,4001.800048828125,4006.60009765625,3982.85009765625,-469.9951171875,-493.9951171875,,,939.990234375,580.0048828125,9.39990234375,5.800048828125
2026-07-17 13:30:00+00:00,False,4007.89990234375,3967.10009765625,40.7998046875,-4.534910254995793,NY,,,,,,,,,,,,,,,
