event_ts,event_type,logged_at,status,pre_close,ev_open,ev_high,ev_low,ev_close,ev_range,pre_atr,ema_slope,trend_dir,status_detail,direction,entry_ts,entry_price,exit_ts,exit_price,stop_price,target_price,exit_reason,gross_pnl,net_pnl,mfe_dollars,mae_dollars,what_if_opp_dir_pnl
2024-01-05 13:30:00+00:00,JOBS,2026-06-19 19:26:19.403571+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2024-01-11 13:30:00+00:00,CPI,2026-06-19 19:26:19.404085+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31 19:00:00+00:00,FOMC,2026-06-19 19:26:19.404821+00:00,no_trade_taken,2064.60009765625,2064.699951171875,2069.39990234375,2057.39990234375,2063.10009765625,12.0,3.8050048828125,3.9981238898560605,UP,short_break_blocked_by_trend,,,,,,,,,,,,,
2024-02-02 13:30:00+00:00,JOBS,2026-06-19 19:26:19.407049+00:00,no_trade_taken,2072.199951171875,2072.300048828125,2074.699951171875,2046.0999755859373,2048.39990234375,28.599975585937727,3.74998779296875,1.6115429528449567,UP,short_break_blocked_by_trend,,,,,,,,,,,,,
2024-02-13 13:30:00+00:00,CPI,2026-06-19 19:26:19.408332+00:00,no_trade_taken,2042.0,2042.0,2047.300048828125,2016.199951171875,2017.5999755859373,31.10009765625,2.4549926757812273,0.6274306385587352,UP,short_break_blocked_by_trend,,,,,,,,,,,,,
2024-03-01 13:30:00+00:00,JOBS,2026-06-19 19:26:19.409557+00:00,no_trade_taken,2060.89990234375,2060.800048828125,2063.0,2058.300048828125,2060.0,4.699951171875,3.4300048828125,1.9033732434775175,UP,long_break_skipped_other,,,,,,,,,,,,,
2024-03-13 12:30:00+00:00,CPI,2026-06-19 19:26:19.410754+00:00,no_trade_taken,2169.300048828125,2169.39990234375,2171.699951171875,2167.5,2168.89990234375,4.199951171875,4.22999267578125,-1.1849389131325552,DOWN,long_break_blocked_by_trend,,,,,,,,,,,,,
2024-03-20 18:00:00+00:00,FOMC,2026-06-19 19:26:19.411948+00:00,no_trade_taken,2160.39990234375,2160.300048828125,2187.300048828125,2160.0,2185.60009765625,27.300048828125,3.5249755859375,-0.032016958818985586,DOWN,long_break_blocked_by_trend,,,,,,,,,,,,,
2024-04-05 12:30:00+00:00,JOBS,2026-06-19 19:26:19.413125+00:00,traded,2310.39990234375,2310.199951171875,2315.699951171875,2299.60009765625,2310.0,16.099853515625,7.89503173828125,1.359149364681798,UP,,1.0,2024-04-05 13:00:00+00:00,2316.489454345703,2024-04-05 16:00:00+00:00,2348.689161376953,2300.389600830078,2348.689161376953,target,3219.970703125,3195.970703125,3251.054565429695,-1038.9356689453052,
2024-04-11 12:30:00+00:00,CPI,2026-06-19 19:26:19.414644+00:00,no_trade_taken,2354.800048828125,2354.699951171875,2362.199951171875,2349.199951171875,2359.0,13.0,7.480029296875,-1.249266704492129,DOWN,long_break_blocked_by_trend,,,,,,,,,,,,,
2024-05-01 18:00:00+00:00,FOMC,2026-06-19 19:26:19.415844+00:00,no_trade_taken,2310.39990234375,2310.39990234375,2339.5,2305.800048828125,2336.300048828125,33.699951171875,5.92998046875,-0.482096902167541,DOWN,,,,,,,,,,,,,,
2024-05-03 12:30:00+00:00,JOBS,2026-06-19 19:26:19.417051+00:00,traded,2307.0,2307.10009765625,2330.699951171875,2303.199951171875,2313.300048828125,27.5,4.8399658203125,-1.2653280390245527,DOWN,,-1.0,2024-05-03 13:00:00+00:00,2302.715954589844,2024-05-03 19:00:00+00:00,2310.199951171875,2330.215954589844,2247.715954589844,time,-748.3996582031068,-772.3996582031068,1751.6003417968932,-1488.4143066406068,
2024-05-13 12:30:00+00:00,CPI,2026-06-19 19:26:19.418587+00:00,traded,2350.60009765625,2350.5,2356.300048828125,2349.89990234375,2353.10009765625,6.400146484375,5.61500244140625,-1.0832485391279079,DOWN,,-1.0,2024-05-13 13:00:00+00:00,2349.3384020996095,2024-05-13 19:00:00+00:00,2343.5,2355.7385485839845,2336.5381091308595,time,583.8402099609539,559.8402099609539,1063.8450927734539,-616.1597900390461,
2024-06-07 12:30:00+00:00,JOBS,2026-06-19 19:26:19.420142+00:00,traded,2355.0,2354.89990234375,2357.5,2330.60009765625,2337.199951171875,26.89990234375,8.144970703125,-3.2453547522168265,DOWN,,-1.0,2024-06-07 13:00:00+00:00,2329.7856005859376,2024-06-07 19:00:00+00:00,2305.800048828125,2356.6855029296876,2275.9857958984376,time,2398.5551757812573,2374.5551757812573,2468.5502929687573,-1641.4350585937427,
2024-06-12 18:00:00+00:00,FOMC,2026-06-19 19:26:19.421625+00:00,no_trade_taken,2352.199951171875,2351.5,2352.199951171875,2336.10009765625,2339.5,16.099853515625,6.2449951171875,3.2978162541398888,UP,short_break_blocked_by_trend,,,,,,,,,,,,,
2024-06-13 12:30:00+00:00,CPI,2026-06-19 19:26:19.422766+00:00,no_trade_taken,2322.5,2322.39990234375,2342.39990234375,2320.39990234375,2339.300048828125,22.0,6.81495361328125,-0.7979191851436553,DOWN,,,,,,,,,,,,,,
2024-07-05 12:30:00+00:00,JOBS,2026-06-19 19:26:19.424015+00:00,traded,2373.60009765625,2373.699951171875,2385.199951171875,2356.0,2380.199951171875,29.199951171875,5.29498291015625,4.971595652569249,UP,,1.0,2024-07-05 13:00:00+00:00,2385.7294494628904,2024-07-05 19:00:00+00:00,2397.199951171875,2356.5294982910154,2444.1293518066404,time,1147.0501708984557,1123.0501708984557,1577.0550537109557,-702.9498291015443,
2024-07-11 12:30:00+00:00,CPI,2026-06-19 19:26:19.425498+00:00,traded,2386.199951171875,2386.0,2415.5,2383.10009765625,2411.800048828125,32.39990234375,3.63497314453125,1.6262029895769956,UP,,1.0,2024-07-11 13:00:00+00:00,2415.863497314453,2024-07-11 19:00:00+00:00,2419.800048828125,2383.463594970703,2480.663302001953,time,393.65515136719296,369.65515136719296,1453.640502929693,-1466.354614257807,
2024-07-31 18:00:00+00:00,FOMC,2026-06-19 19:26:19.426988+00:00,traded,2471.199951171875,2471.800048828125,2480.60009765625,2420.60009765625,2478.89990234375,60.0,50.9900146484375,6.845348010420366,UP,,1.0,2024-07-31 19:00:00+00:00,2485.6990991210937,2024-08-01 02:00:00+00:00,2485.5,2425.6990991210937,2605.6990991210937,time,-19.909912109369543,-43.90991210936954,1710.0949707031305,-5289.9050292968695,
2024-08-02 12:30:00+00:00,JOBS,2026-06-19 19:26:19.428467+00:00,no_trade_taken,2503.5,2503.300048828125,2522.5,2473.39990234375,2517.10009765625,49.10009765625,32.789990234375,4.889733851603069,UP,short_break_blocked_by_trend,,,,,,,,,,,,,
2024-08-13 12:30:00+00:00,CPI,2026-06-19 19:26:19.429637+00:00,traded,2505.300048828125,2505.300048828125,2512.5,2463.199951171875,2507.300048828125,49.300048828125,25.8549560546875,3.039761957956671,UP,,1.0,2024-08-13 13:00:00+00:00,2515.0854956054686,2024-08-13 13:00:00+00:00,2465.7854467773436,2465.7854467773436,2613.6855932617186,stop,-4930.0048828125,-4954.0048828125,51.46020507813773,-5188.554443359362,
2024-09-06 12:30:00+00:00,JOBS,2026-06-19 19:26:19.430994+00:00,no_trade_taken,2546.199951171875,2546.10009765625,2559.800048828125,2537.300048828125,2552.300048828125,22.5,3.544970703125,1.7179087071490358,UP,short_break_blocked_by_trend,,,,,,,,,,,,,
2024-09-12 12:30:00+00:00,CPI,2026-06-19 19:26:19.432150+00:00,traded,2547.39990234375,2547.60009765625,2564.10009765625,2546.5,2556.800048828125,17.60009765625,4.05501708984375,0.5665365229669987,UP,,1.0,2024-09-12 13:00:00+00:00,2564.5055993652345,2024-09-12 19:00:00+00:00,2586.199951171875,2546.9055017089845,2599.7057946777345,time,2169.4351806640498,2145.4351806640498,2319.4351806640498,-1450.5599365234502,
2024-09-18 18:00:00+00:00,FOMC,2026-06-19 19:26:19.433623+00:00,traded,2594.0,2594.39990234375,2627.199951171875,2594.39990234375,2601.89990234375,32.800048828125,5.23499755859375,-0.4185329633664878,DOWN,,-1.0,2024-09-18 19:00:00+00:00,2593.8764025878904,2024-09-19 02:00:00+00:00,2588.89990234375,2626.6764514160154,2528.2763049316404,time,497.6500244140425,473.6500244140425,2137.6402587890425,-862.3597412109575,
2024-10-04 12:30:00+00:00,JOBS,2026-06-19 19:26:19.435103+00:00,no_trade_taken,2681.39990234375,2681.300048828125,2681.5,2651.60009765625,2658.5,29.89990234375,4.669970703125,0.6944760432847943,UP,,,,,,,,,,,,,,
2024-10-11 12:30:00+00:00,CPI,2026-06-19 19:26:19.436318+00:00,traded,2661.699951171875,2661.60009765625,2667.39990234375,2657.699951171875,2660.39990234375,9.699951171875,6.035009765625,2.6117919757384698,UP,,1.0,2024-10-11 13:00:00+00:00,2668.0034033203124,2024-10-11 19:00:00+00:00,2672.89990234375,2658.3034521484374,2687.4033056640624,time,489.64990234376273,465.64990234376273,1099.6596679687627,-800.3403320312373,
2024-11-01 12:30:00+00:00,JOBS,2026-06-19 19:26:19.438783+00:00,no_trade_taken,2762.699951171875,2762.699951171875,2770.0,2758.699951171875,2764.0,11.300048828125,5.1599609375,-2.0005732266567975,DOWN,long_break_blocked_by_trend,,,,,,,,,,,,,
2024-11-07 19:00:00+00:00,FOMC,2026-06-19 19:26:19.440030+00:00,traded,2703.0,2703.199951171875,2705.5,2694.60009765625,2701.60009765625,10.89990234375,8.5400390625,0.8628626975269071,UP,,1.0,2024-11-07 20:00:00+00:00,2706.35400390625,2024-11-08 03:00:00+00:00,2702.39990234375,2695.4541015625,2728.15380859375,time,-395.41015625,-419.41015625,1194.6044921875,-635.400390625,
2024-11-13 13:30:00+00:00,CPI,2026-06-19 19:26:19.441531+00:00,traded,2615.699951171875,2615.699951171875,2625.0,2613.0,2618.60009765625,12.0,5.4199951171875,-2.298038358692793,DOWN,,-1.0,2024-11-13 14:00:00+00:00,2612.4580004882814,2024-11-13 17:00:00+00:00,2588.4580004882814,2624.4580004882814,2588.4580004882814,target,2400.0,2376.0,2915.7951660156414,-1014.2097167968586,
2024-12-06 13:30:00+00:00,JOBS,2026-06-19 19:26:19.442994+00:00,traded,2660.10009765625,2660.0,2665.300048828125,2637.300048828125,2657.39990234375,28.0,17.67998046875,-0.4458935974080305,DOWN,,-1.0,2024-12-06 14:00:00+00:00,2635.53205078125,2024-12-06 16:00:00+00:00,2663.53205078125,2663.53205078125,2579.53205078125,stop,-2800.0,-2824.0,853.2050781249836,-2816.7900390625164,
2024-12-12 13:30:00+00:00,CPI,2026-06-19 19:26:19.444373+00:00,no_trade_taken,2736.39990234375,2736.39990234375,2742.60009765625,2714.0,2726.199951171875,28.60009765625,13.7400146484375,2.7684124896236426,UP,short_break_blocked_by_trend,,,,,,,,,,,,,
2024-12-18 19:00:00+00:00,FOMC,2026-06-19 19:26:19.445533+00:00,traded,2652.5,2651.800048828125,2651.800048828125,2618.89990234375,2619.5,32.900146484375,4.77999267578125,-2.5254965818676283,DOWN,,-1.0,2024-12-18 20:00:00+00:00,2618.421903076172,2024-12-19 03:00:00+00:00,2623.10009765625,2651.322049560547,2552.621610107422,time,-467.81945800780704,-491.81945800780704,2172.195190429693,-1157.809692382807,
2025-01-03 13:30:00+00:00,JOBS,2026-06-19 19:26:19.447012+00:00,no_trade_taken,2669.300048828125,2669.10009765625,2670.300048828125,2657.0,2664.10009765625,13.300048828125,5.25,2.804238010757672,UP,short_break_blocked_by_trend,,,,,,,,,,,,,
2025-01-13 13:30:00+00:00,CPI,2026-06-19 19:26:19.448239+00:00,no_trade_taken,2691.89990234375,2691.800048828125,2694.199951171875,2679.89990234375,2689.5,14.300048828125,7.62999267578125,0.03736762338303379,UP,,,,,,,,,,,,,,
2025-01-29 19:00:00+00:00,FOMC,2026-06-19 19:26:19.449464+00:00,traded,2768.89990234375,2768.300048828125,2775.39990234375,2761.0,2773.300048828125,14.39990234375,4.7500244140625,1.4661742623957252,UP,,1.0,2025-01-29 20:00:00+00:00,2775.874904785156,2025-01-30 03:00:00+00:00,2773.39990234375,2761.475002441406,2804.674709472656,time,-247.50024414061045,-271.50024414061045,32.50463867188955,-737.4904785156104,
2025-02-07 13:30:00+00:00,JOBS,2026-06-19 19:26:19.450934+00:00,traded,2886.699951171875,2886.699951171875,2893.0,2857.800048828125,2885.60009765625,35.199951171875,21.3149658203125,1.933322454628069,UP,,1.0,2025-02-07 14:00:00+00:00,2895.131496582031,2025-02-07 17:00:00+00:00,2859.931545410156,2859.931545410156,2965.531398925781,stop,-3519.9951171875,-3543.9951171875,1546.8601074218896,-3553.1398925781104,
2025-02-13 13:30:00+00:00,CPI,2026-06-19 19:26:19.452340+00:00,traded,2946.5,2946.5,2946.800048828125,2916.699951171875,2935.60009765625,30.10009765625,19.214990234375,3.028016093916449,UP,,1.0,2025-02-13 15:00:00+00:00,2948.7215478515627,2025-02-13 21:00:00+00:00,2957.199951171875,2918.6214501953127,3008.9217431640627,time,847.8403320312282,823.8403320312282,1007.8500976562282,-2502.159667968772,
2025-03-07 13:30:00+00:00,JOBS,2026-06-19 19:26:19.453867+00:00,no_trade_taken,2925.89990234375,2925.89990234375,2933.89990234375,2916.60009765625,2920.5,17.2998046875,6.3650146484375,1.5866667006853277,UP,long_break_skipped_other,,,,,,,,,,,,,
2025-03-13 12:30:00+00:00,CPI,2026-06-19 19:26:19.455015+00:00,no_trade_taken,2955.199951171875,2955.199951171875,2958.89990234375,2950.199951171875,2951.800048828125,8.699951171875,5.725,3.906333530801021,UP,long_break_skipped_other,,,,,,,,,,,,,
2025-03-19 18:00:00+00:00,FOMC,2026-06-19 19:26:19.456192+00:00,traded,3038.60009765625,3038.89990234375,3058.199951171875,3037.5,3055.39990234375,20.699951171875,6.65496826171875,2.0595495938132444,UP,,1.0,2025-03-19 19:00:00+00:00,3058.865447998047,2025-03-20 02:00:00+00:00,3054.199951171875,3038.165496826172,3100.265350341797,time,-466.5496826171875,-490.5496826171875,633.4503173828125,-906.5399169921875,
2025-04-04 12:30:00+00:00,JOBS,2026-06-19 19:26:19.457691+00:00,traded,3132.5,3132.699951171875,3134.300048828125,3065.5,3090.60009765625,68.800048828125,32.064990234375,-3.701018745028705,DOWN,,-1.0,2025-04-04 13:00:00+00:00,3062.2935009765624,2025-04-04 19:00:00+00:00,3057.60009765625,3131.0935498046874,2924.6934033203124,time,469.3403320312427,445.3403320312427,5129.350097656243,-4470.649902343757,
2025-04-11 12:30:00+00:00,CPI,2026-06-19 19:26:19.459158+00:00,traded,3230.800048828125,3231.199951171875,3252.199951171875,3214.0,3251.10009765625,38.199951171875,29.04998779296875,16.173712447779053,UP,,1.0,2025-04-11 13:00:00+00:00,3255.104949951172,2025-04-11 19:00:00+00:00,3248.10009765625,3216.904998779297,3331.504852294922,time,-700.4852294921875,-724.4852294921875,789.5050048828125,-3700.4852294921875,
2025-05-02 12:30:00+00:00,JOBS,2026-06-19 19:26:19.460649+00:00,no_trade_taken,3269.89990234375,3269.89990234375,3272.699951171875,3256.60009765625,3257.60009765625,16.099853515625,11.44500732421875,0.7797547817413033,UP,short_break_blocked_by_trend,,,,,,,,,,,,,
2025-05-07 18:00:00+00:00,FOMC,2026-06-19 19:26:19.461787+00:00,no_trade_taken,3393.60009765625,3393.60009765625,3406.5,3383.0,3392.10009765625,23.5,19.0800048828125,4.480607507224249,UP,short_break_blocked_by_trend,,,,,,,,,,,,,
