label,n,win_rate,mean_net_pnl,median_net_pnl,total_net_pnl,mean_gross_pnl,std_net_pnl,sharpe_per_trade,max_win,max_loss,profit_factor,bar_label
PPI|hold=1|z>=1.0,9,0.6666666666666666,983.7826605902778,376.0,8854.0439453125,1007.7826605902778,2309.2841102673506,6.762730282913528,5455.98046875,-1633.9609375,3.633610427847563,1h
PPI|hold=2|z>=0.0,29,0.5862068965517241,335.31143925107835,106.029296875,9724.031738281272,359.31143925107835,2007.109626522893,2.6520245878658586,6965.990234375,-4374.0,1.752748853157781,1h
PPI|hold=2|z>=0.5,19,0.5789473684210527,670.7387695312511,106.029296875,12744.036621093772,694.7387695312511,2149.1326886626957,4.954392964838518,6965.990234375,-2024.0,2.945057635285455,1h
PPI|hold=2|z>=1.0,9,0.6666666666666666,1242.672092013889,676.0,11184.048828125,1266.672092013889,2756.7153743347567,7.1559102849982,6965.990234375,-2024.0,4.366661296846779,1h
PPI|hold=3|z>=0.0,29,0.4827586206896552,100.4843581627163,-4.0048828125,2914.0463867187727,124.4843581627163,2201.776692779181,0.724478435680726,7245.970703125,-4774.0,1.1541013110690839,1h
PPI|hold=3|z>=0.5,19,0.5263157894736842,440.210911800988,5.98046875,8364.007324218772,464.210911800988,2406.425263764693,2.903947065167504,7245.970703125,-2853.98046875,1.7437354692075862,1h
PPI|hold=3|z>=1.0,9,0.5555555555555556,878.2216796875,376.0,7903.9951171875,902.2216796875,3140.086597059817,4.439793786478726,7245.970703125,-2853.98046875,2.220514013751891,1h
PPI|hold=4|z>=0.0,29,0.5172413793103449,359.4481074892241,65.990234375,10423.9951171875,383.4481074892241,2238.7171870010616,2.548808685182573,8015.990234375,-4124.0,1.65370655292657,1h
PPI|hold=4|z>=0.5,19,0.42105263157894735,617.051603618421,-143.9951171875,11723.98046875,641.051603618421,2521.197358655108,3.885213706884441,8015.990234375,-2344.01953125,2.1400219793138437,1h
PPI|hold=4|z>=1.0,9,0.5555555555555556,1413.7821180555557,1065.990234375,12724.0390625,1437.7821180555557,3092.709436121451,7.256774623670021,8015.990234375,-1943.970703125,4.106491881512183,1h
RETAIL|hold=1|z>=0.0,27,0.48148148148148145,177.48654513888889,-63.990234375,4792.13671875,201.48654513888889,1241.553096140946,2.269344392714868,2836.009765625,-1943.9951171875,1.438200266573463,1h
RETAIL|hold=1|z>=0.5,19,0.3684210526315789,44.42362253289474,-283.9853515625,844.048828125,68.42362253289474,1142.1057918808647,0.6174586893483065,2436.009765625,-1943.9951171875,1.1075497456117134,1h
RETAIL|hold=1|z>=1.0,8,0.125,-727.7506103515625,-574.0,-5822.0048828125,-703.7506103515625,679.6798709306554,-16.997241323294805,176.0,-1943.9951171875,0.02934309048402651,1h
RETAIL|hold=2|z>=0.0,27,0.7037037037037037,494.89015480324076,486.009765625,13362.0341796875,518.8901548032408,1557.2224664248088,5.0449680921047335,3726.0,-3303.98046875,2.412175713182266,1h
RETAIL|hold=2|z>=0.5,19,0.6842105263157895,462.31527549342104,426.0,8783.990234375,486.31527549342104,1405.0461599494806,5.223335493714539,3326.0,-1784.009765625,2.432007547535079,1h
RETAIL|hold=2|z>=1.0,8,0.625,-60.2518310546875,151.0,-482.0146484375,-36.2518310546875,1382.9910958833054,-0.6915938713481026,2086.009765625,-1784.009765625,0.8959383350150468,1h
RETAIL|hold=3|z>=0.0,27,0.8148148148148148,593.7806712962963,426.0,16032.078125,617.7806712962963,1499.6860527093656,6.285299460092169,3335.9853515625,-3074.0,3.0713292298336246,1h
RETAIL|hold=3|z>=0.5,19,0.7894736842105263,550.7391550164474,276.0,10464.0439453125,574.7391550164474,1334.1320245457093,6.553109353336481,3335.9853515625,-1713.990234375,3.2426178516062962,1h
RETAIL|hold=3|z>=1.0,8,0.625,-153.9957275390625,121.00732421875,-1231.9658203125,-129.9957275390625,1317.0642683261349,-1.8561025813233747,2086.009765625,-1713.990234375,0.7340307175416859,1h
RETAIL|hold=4|z>=0.0,27,0.5925925925925926,443.040111400463,496.01953125,11962.0830078125,467.040111400463,1679.971683032358,4.18640611897528,3195.9951171875,-3393.9951171875,1.9597344247308213,1h
RETAIL|hold=4|z>=0.5,19,0.5789473684210527,530.212068256579,245.9951171875,10074.029296875,554.212068256579,1548.1723029310358,5.436640115869329,3195.9951171875,-2324.0,2.474543281074876,1h
RETAIL|hold=4|z>=1.0,8,0.375,-231.4981689453125,-439.00244140625,-1851.9853515625,-207.4981689453125,1651.1117452020046,-2.2257242822332834,2256.0048828125,-2324.0,0.7055664881993431,1h
CLAIMS|hold=1|z>=0.0,119,0.453781512605042,-555.597849100578,-253.98046875,-66116.14404296878,-531.597849100578,3605.6701756129937,-2.446103497138553,5026.0,-32804.029296875,0.5274720100358643,1h
CLAIMS|hold=1|z>=0.5,74,0.47297297297297297,-335.75850533150367,-224.01220703125,-24846.129394531272,-311.75850533150367,2110.94627799966,-2.5249344758987453,5026.0,-7984.009765625,0.6430461291056792,1h
CLAIMS|hold=1|z>=1.0,38,0.5,-48.21361019736842,-28.99267578125,-1832.1171875,-24.21361019736842,1639.2855330156533,-0.46689080024825624,5026.0,-2674.0,0.9238712463457579,1h
CLAIMS|hold=2|z>=0.0,119,0.46218487394957986,-494.3394785648636,-174.0,-58826.39794921877,-470.3394785648636,3359.1994747193585,-2.33609108366494,5705.98046875,-24844.01953125,0.5985540062577429,1h
CLAIMS|hold=2|z>=0.5,74,0.4594594594594595,-185.35534338049015,-218.9951171875,-13716.295410156272,-161.35534338049015,2279.000595019356,-1.291103154163751,5705.98046875,-5944.01953125,0.8018166973067614,1h
CLAIMS|hold=2|z>=1.0,38,0.5,295.9938322368421,50.98779296875,11247.765625,319.9938322368421,2136.412276242937,2.19936782356873,5705.98046875,-2644.01953125,1.5026683374398555,1h
CLAIMS|hold=3|z>=0.0,119,0.42016806722689076,-498.4559151785717,-303.98046875,-59316.25390625003,-474.4559151785716,3218.7773165723697,-2.458306856398443,8405.98046875,-17664.0390625,0.6066983420142776,1h
CLAIMS|hold=3|z>=0.5,74,0.43243243243243246,-220.08451224662193,-249.0,-16286.253906250022,-196.08451224662193,2565.7364801140216,-1.3616882902852923,8405.98046875,-9064.0146484375,0.7806510806763586,1h
CLAIMS|hold=3|z>=1.0,38,0.47368421052631576,453.62900904605266,-104.0048828125,17237.90234375,477.62900904605266,2345.733933171548,3.0698866442993626,8405.98046875,-2764.0390625,1.8081510962610057,1h
CLAIMS|hold=4|z>=0.0,119,0.42016806722689076,-609.8828248096116,-324.0,-72576.05615234378,-585.8828248096116,3493.9852906926,-2.7709302972181917,9496.01953125,-17324.0,0.578355052629138,1h
CLAIMS|hold=4|z>=0.5,74,0.40540540540540543,-420.21796479096315,-293.9951171875,-31096.129394531272,-396.21796479096315,2780.108488223596,-2.3994579405546563,9496.01953125,-10964.0146484375,0.6447215100893934,1h
CLAIMS|hold=4|z>=1.0,38,0.4473684210526316,347.8403063322368,-293.9951171875,13217.931640625,371.8403063322368,2437.956301603926,2.264927257098485,9496.01953125,-2824.0,1.5403005711788882,1h
FOMC+NFP+CPI+PPI+RETAIL+UNRATE+CLAIMS|hold=1|z>=0.0,248,0.4879032258064516,-290.693607453377,-68.9951171875,-72092.0146484375,-266.693607453377,2849.8795292376317,-1.6192326415501703,5776.0,-32804.029296875,0.6884364810319821,1h
FOMC+NFP+CPI+PPI|hold=1|z>=0.0,75,0.49333333333333335,-193.46598307291637,-63.990234375,-14509.948730468728,-169.46598307291637,1909.1582999797738,-1.608655117913453,5776.0,-4533.9853515625,0.751974660670254,1h
NFP+CPI+PPI+RETAIL|hold=1|z>=0.0,102,0.49019607843137253,-95.27266678155615,-63.990234375,-9717.812011718728,-71.27266678155615,1759.08168672611,-0.8597705892159714,5776.0,-4533.9853515625,0.8600501802003241,1h
CLAIMS|hold=1|z>=0.0,119,0.453781512605042,-555.597849100578,-253.98046875,-66116.14404296878,-531.597849100578,3605.6701756129937,-2.446103497138553,5026.0,-32804.029296875,0.5274720100358643,1h
FOMC+NFP+CPI+PPI+RETAIL+UNRATE+CLAIMS|hold=1|z>=0.5,164,0.5,-102.84193978658537,-28.99267578125,-16866.078125,-78.84193978658537,1977.427468348974,-0.8256005382082569,5776.0,-7984.009765625,0.8646467777577849,1h
FOMC+NFP+CPI+PPI|hold=1|z>=0.5,55,0.5272727272727272,21.63676313920494,76.0,1190.0219726562718,45.63676313920496,1995.7324752708562,0.17210371175117423,5776.0,-4284.009765625,1.0309386481680722,1h
NFP+CPI+PPI+RETAIL|hold=1|z>=0.5,74,0.4864864864864865,27.487443253800972,-63.990234375,2034.0708007812718,51.48744325380097,1807.7679878091956,0.2413747987030956,5776.0,-4284.009765625,1.0439211123209104,1h
CLAIMS|hold=1|z>=0.5,74,0.47297297297297297,-335.75850533150367,-224.01220703125,-24846.129394531272,-311.75850533150367,2110.94627799966,-2.5249344758987453,5026.0,-7984.009765625,0.6430461291056792,1h
FOMC+NFP+CPI+PPI+RETAIL+UNRATE+CLAIMS|hold=1|z>=1.0,94,0.5,10.360974900265957,-28.99267578125,973.931640625,34.36097490026596,1811.7270486061925,0.09078375116397963,5776.0,-4284.009765625,1.016053480933254,1h
FOMC+NFP+CPI+PPI|hold=1|z>=1.0,39,0.5128205128205128,141.38649338942307,6.0048828125,5514.0732421875,165.38649338942307,2149.0979205794197,1.0443642330202534,5776.0,-4284.009765625,1.207016535809549,1h
NFP+CPI+PPI+RETAIL|hold=1|z>=1.0,47,0.44680851063829785,-6.551737034574468,-143.9951171875,-307.931640625,17.44826296542553,1998.673200300204,-0.0520373220985968,5776.0,-4284.009765625,0.990564059877561,1h
CLAIMS|hold=1|z>=1.0,38,0.5,-48.21361019736842,-28.99267578125,-1832.1171875,-24.21361019736842,1639.2855330156533,-0.46689080024825624,5026.0,-2674.0,0.9238712463457579,1h
FOMC+NFP+CPI+PPI+RETAIL+UNRATE+CLAIMS|hold=2|z>=0.0,248,0.5161290322580645,-187.54877102759568,40.990234375,-46512.09521484373,-163.54877102759568,2882.538481689755,-1.0328550546404542,7136.009765625,-24844.01953125,0.8117758155794148,1h
FOMC+NFP+CPI+PPI|hold=2|z>=0.0,75,0.48,-205.59700520833275,-54.0048828125,-15419.775390624956,-181.59700520833275,2338.0229173028742,-1.3959449466177338,7136.009765625,-5613.990234375,0.7754702916467414,1h
NFP+CPI+PPI+RETAIL|hold=2|z>=0.0,102,0.5392156862745098,-20.173933440563296,76.0,-2057.7412109374563,3.8260665594367116,2173.877220395518,-0.14731800954238522,7136.009765625,-5613.990234375,0.9736652608592092,1h
CLAIMS|hold=2|z>=0.0,119,0.46218487394957986,-494.3394785648636,-174.0,-58826.39794921877,-470.3394785648636,3359.1994747193585,-2.33609108366494,5705.98046875,-24844.01953125,0.5985540062577429,1h
FOMC+NFP+CPI+PPI+RETAIL+UNRATE+CLAIMS|hold=2|z>=0.5,164,0.5121951219512195,16.486926567263854,25.98779296875,2703.855957031272,40.48692656726385,2243.346739274106,0.11666580154669753,7136.009765625,-5944.01953125,1.0207128450586525,1h
FOMC+NFP+CPI+PPI|hold=2|z>=0.5,55,0.4727272727272727,-28.542347301135536,-54.0048828125,-1569.8291015624545,-4.542347301135536,2433.188139515561,-0.18621483041062786,7136.009765625,-5613.990234375,0.9662735362122967,1h
NFP+CPI+PPI+RETAIL|hold=2|z>=0.5,74,0.527027027027027,97.48866395692626,55.99267578125,7214.161132812544,121.48866395692626,2216.4982550040363,0.6982114961624545,7136.009765625,-5613.990234375,1.136943194479081,1h
CLAIMS|hold=2|z>=0.5,74,0.4594594594594595,-185.35534338049015,-218.9951171875,-13716.295410156272,-161.35534338049015,2279.000595019356,-1.291103154163751,5705.98046875,-5944.01953125,0.8018166973067614,1h
